"C","Historical Regulation Offer Data Report"
"C","Filename: hbregulationoffer_20210910.csv"
"C","Report for: 09/10/2021"
"C","Report generated: 11/27/2022 18:22:12 EST"
"H","Day","Hour Ending","Masked Lead Participant ID","Masked Asset ID","Regulation Low Limit","Regulation High Limit","Regulation Status","Automatic Response Rate","Regulation Offer Price","Regulation Service Offer Price","Regulation Capacity Offer Price","Regulation Inter-Temporal Opportunity Cost"
"H","Date","String","Number","Number","MW","MW","String","MW/Minute","$/MW","$/MW","$/MW","$/MW"
"D","09/10/2021","01",126216,16568,170,300,"AVAILABLE",3,,0,10,0
"D","09/10/2021","01",126216,65939,200,525,"AVAILABLE",3,,0,10,0
"D","09/10/2021","01",126216,86401,180,333,"AVAILABLE",3,,0,10,0
"D","09/10/2021","01",148550,74023,-5,5,"AVAILABLE",375,,0,0,0
"D","09/10/2021","01",191345,95889,-1.5,1.5,"AVAILABLE",113,,0,0,0
"D","09/10/2021","01",196063,23404,47,57,"AVAILABLE",1,,10,6.5,0
"D","09/10/2021","01",206845,29055,285,585,"AVAILABLE",3,,0,30,0
"D","09/10/2021","01",206845,31335,50,100,"AVAILABLE",1,,0,20,0
"D","09/10/2021","01",206845,67677,-16.7,16.2,"AVAILABLE",250,,0,0,0
"D","09/10/2021","01",212494,31662,264,352.5,"AVAILABLE",5.6,,0.05,6.72,0.05
"D","09/10/2021","01",212494,44171,171,249.4,"AVAILABLE",4.4,,0.06,6.82,0.06
"D","09/10/2021","01",212494,52323,204,343,"AVAILABLE",7.1,,0.07,6.7,0.07
"D","09/10/2021","01",212494,55388,172,264.1,"AVAILABLE",4.4,,0.07,6.77,0.07
"D","09/10/2021","01",212494,78679,264,346,"AVAILABLE",5.6,,0.06,6.75,0.06
"D","09/10/2021","01",212494,80076,191,323,"AVAILABLE",5.2,,0.88,6.8,0.88
"D","09/10/2021","01",292445,12097,44,48.5,"UNAVAILABLE",25,,0,0,100
"D","09/10/2021","01",292445,35696,36,45,"AVAILABLE",25,,0,0,100
"D","09/10/2021","01",292445,37352,36,45,"AVAILABLE",25,,0,0,100
"D","09/10/2021","01",292445,51737,0.5,45,"AVAILABLE",25,,0,0,100
"D","09/10/2021","01",292445,52317,36,45,"AVAILABLE",25,,0,0,100
"D","09/10/2021","01",292445,52400,20,22,"UNAVAILABLE",25,,0,0,100
"D","09/10/2021","01",292445,56935,44,48.5,"UNAVAILABLE",25,,0,0,100
"D","09/10/2021","01",292445,93720,8,38,"AVAILABLE",25,,0,0,100
"D","09/10/2021","01",292445,96291,44,48,"UNAVAILABLE",25,,0,0,100
"D","09/10/2021","01",295534,64231,355,521,"AVAILABLE",12,,0.19,3.99,0
"D","09/10/2021","01",328723,41406,311,495,"AVAILABLE",20,,0.19,4.99,0
"D","09/10/2021","01",328723,45714,145,234,"AVAILABLE",7,,0.19,3.99,0
"D","09/10/2021","01",328723,56535,168,262,"AVAILABLE",11,,0.19,4.99,0
"D","09/10/2021","01",331313,94830,70,80,"AVAILABLE",2,,0,5,0
"D","09/10/2021","01",383731,26606,-5,4.9,"AVAILABLE",371,,0,0,0
"D","09/10/2021","01",412080,44623,55,70,"AVAILABLE",5,,0.1,10,0
"D","09/10/2021","01",412080,59383,55,70,"AVAILABLE",5,,0.1,10,0
"D","09/10/2021","01",412080,68657,87,98,"UNAVAILABLE",5,,0.1,10,0
"D","09/10/2021","01",412080,75042,82,97,"AVAILABLE",5,,0.15,15,0
"D","09/10/2021","01",412080,82179,82,97,"AVAILABLE",5,,0.3,10,0
"D","09/10/2021","01",441991,11031,35,45,"UNAVAILABLE",10,,0,0,0
"D","09/10/2021","01",441991,19426,35,45,"UNAVAILABLE",10,,0,0,0
